id,first_name,last_name,age,parent_1,parent_1 occupation,parent_1_education,parent_2,parent_2_education,parent_2_occupation,phone,household_income,number_siblings,other_household_members,mode_transport,attendance,days_membership,school_tardiness,after_school,after_school_external,primary_student_language,primary_household_language,at_risk,homeless,special_education,state_agencies_involved,reduced_lunch,suspensions,mcas,reading_levels,attended-preschool
49228765,Barton,Ribbon,10,Devora,Sales,none,,,,978-728-0949,$100000 to $149999,1,,car,180,180,0,,,english,english,,,TRUE,,,,NI,Partially_Meeting,
72453056,Cissiee,Rivallant,9,Mab,,bachelor's,Kerwinn,,Business,978-595-8280,$50000 to $74999,2,,car,180,180,0,,,,english,,,,,,,A,,
42983122,Raymond,Laverack,13,Mona,Service,associate,Pierson,bachelor's,Arts,978-102-8406,$50000 to $74999,3,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Meeting,
19941365,Risa,Kerry,9,Larissa,,associate,Pauly,,Management,978-501-5765,$25000 to $34999,3,,bike,555,180,0,,,english,english,,,,,,,P,Partially_Meeting,
64340494,Bamby,McGready,17,Kellen,Office,associate,Tallie,associate,Maintenance,978-317-4682,$75000 to $99999,0,0,car,180,180,0,,,spanish,english,,,,,,,P,Exceeding,
99455428,Leonelle,Raftery,12,Sonja,Office,associate,Lisle,none,Sales,978-461-7445,$100000 to $149999,1,,car,180,180,0,,,english,english,,,,,TRUE,,P,Meeting,TRUE
55601737,Willyt,Burbidge,12,Tori,Arts,none,Adams,none,Sales,978-173-6616,$50000 to $74999,0,,car,180,180,0,,,english,english,,,TRUE,,,,P,Not_Meeting,
5944982,Lindon,Godly,13,Averil,,bachelor's,Warden,,Maintenance,978-526-3993,$75000 to $99999,3,,car,180,180,0,,,english,english,,,,,,,A,Not_Meeting,
1689630,Izabel,Benard,5,Aliza,Service,none,,,,978-051-5582,$50000 to $74999,2,,walk,555,180,0,,,english,english,TRUE,,,,TRUE,,,Not_Meeting,
91193883,Charita,Flagg,6,Pat,Management,none,Clim,associate,Construction,978-812-4218,$100000 to $149999,0,,car,180,180,0,,,spanish,english,,,,,TRUE,,,Partially_Meeting,
64407422,Jessie,Clemoes,7,Rory,Science,bachelor's,Gaston,associate,Science,978-981-3960,$75000 to $99999,0,,bike,65,180,0,,,english,english,,,,,,,NI,Exceeding,
