id,first_name,last_name,age,parent_1,parent_1 occupation,parent_1_education,parent_2,parent_2_education,parent_2_occupation,phone,household_income,number_siblings,other_household_members,mode_transport,attendance,days_membership,school_tardiness,after_school,after_school_external,primary_student_language,primary_household_language,at_risk,homeless,special_education,state_agencies_involved,reduced_lunch,suspensions,mcas,reading_levels,attended-preschool,graduated,student-degree,college_major
61711017,Brod,Franciottoi,13,Amye,Other,none,,,,978-224-1483,$25000 to $34999,1,1,car,180,180,0,,,english,english,,,,,,,TRN,Partially_Meeting,,,,
17890853,Harlin,Golden,10,Hyacinthe,Office,trade,Karoly,none,Natural Resources,978-901-1500,$100000 to $149999,1,,car,180,180,0,,,spanish,english,,,,,TRUE,,NI,Exceeding,TRUE,,,
75731435,Laryssa,Voak,13,Nolana,,trade,Rustie,parent_1_education,Sales,978-802-0570,$25000 to $34999,0,,car,180,180,0,,,english,english,TRUE,,TRUE,,,,,Meeting,,,,
44507672,Consuelo,Stonner,10,Tanhya,Other,associate,Brady,,Natural Resources,978-866-9037,$75000 to $99999,0,2,car,555,180,3,,,english,english,,,,,,,PRG,Partially_Meeting,,,,
26686973,Tom,McLleese,14,Abagael,Science,associate,,associate,,978-018-2996,$50000 to $74999,3,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Not_Meeting,,,,
56670844,Nicolas,Philler,10,,Service,,Aubrey,associate,,978-896-2163,$75000 to $99999,2,,car,180,180,0,,,spanish,english,,,,,TRUE,,NI,Not_Meeting,,,,
28162700,Xylia,Dovermann,10,Pris,Sales,associate,Myron,associate,Production,978-447-5914,$100000 to $149999,4,,car,180,180,0,,,spanish,spanish,TRUE,,,,,,PRG,Not_Meeting,,,,
872164735,Demetri,Probey,5,Andrei,Other,trade,,,,978-223-6697,$150000 or more,0,,car,180,180,0,TRUE,,english,english,,,,,,,n/a,,,,,
17228101,Nelly,Hallam,7,,Business,trade,,associate,,978-202-0765,$75000 to $99999,2,,bike,555,180,0,,,spanish,english,,,,,,,NI,Exceeding,,,,
31747043,Bambie,Crockford,11,Lanae,Business,none,Samson,trade,Sales,978-738-0201,$25000 to $34999,4,,car,180,180,0,,,spanish,english,,TRUE,TRUE,,,,NI,Exceeding,TRUE,,,
5966802,Nissy,Warsop,8,Lyssa,Management,none,,associate,,978-637-4210,$100000 to $149999,3,,car,65,180,0,,,english,english,,,TRUE,TRUE,,,,Not_Meeting,,,,
18923205,Kristy,Donativo,9,Orella,Office,none,Stanford,,Other,978-123-9444,$100000 to $149999,1,2,car,180,180,0,,,english,english,,,,,,,P,Exceeding,,,,
26382932,Krystal,Minghi,17,Phyllys,,none,Goober,associate,Arts,978-958-1815,$75000 to $99999,4,,car,180,180,0,,,english,english,TRUE,,,,,,P,Partially_Meeting,,,,
4374323,Zachariah,Farnworth,14,Margo,Maintenance,none,,associate,,978-216-2209,$50000 to $74999,1,,car,180,180,0,,,english,english,TRUE,,,,,,P,,TRUE,,,
46560615,Thaxter,Carass,14,Kyrstin,,associate,Chickie,masters,Transportation,978-608-4104,$100000 to $149999,2,,car,180,180,0,,,english,english,,,,,TRUE,,NI,Not_Meeting,,,,
99362596,Donnamarie,Duffyn,9,Nicole,,associate,Rafe,,Other,978-204-6199,$25000 to $34999,4,,bike,180,180,0,,,english,english,,,,,TRUE,,P,Not_Meeting,TRUE,,,
8805394,Licha,Tookill,16,Ashien,Sales,none,,bachelor's,,978-081-3219,$50000 to $74999,4,,car,180,180,0,TRUE,Cedardale,english,english,,,,,,,P,Partially_Meeting,TRUE,,,
4248152,Terza,Sowle,9,Maddi,Science,none,Roosevelt,bachelor's,,978-054-0319,$100000 to $149999,1,,car,180,180,0,,,english,english,,,,,TRUE,,P,Not_Meeting,TRUE,,,
51608252,Lawry,Dwire,18,Goldy,Arts,associate,Jerry,,,978-807-3808,$150000 or more,1,,bike,180,180,0,,,spanish,english,,,,,,,NI,Not_Meeting,,,,
80010786,Almeria,Narey,15,Meggi,Other,none,Fran,bachelor's,Science,978-989-8288,$50000 to $74999,0,,car,180,180,0,,,english,spanish,,,TRUE,,,,A,Exceeding,,,,
43003248,Martita,MacClancey,14,Karlotta,,masters,Stephan,associate,,978-092-9440,,2,,car,180,180,2,,,spanish,english,,,,,TRUE,,A,Not_Meeting,,,,
98816099,Eran,Lembke,16,Debbi,,,Byron,,Sales,978-532-0682,$100000 to $149999,1,,car,180,180,0,,,english,english,,,,,,,NI,Partially_Meeting,TRUE,,,
